model_name,current_mteb_score,belebele_ita,wiki_ita_mono,wiki_ita_to_eng,wiki_eng_to_ita,avg_mono,avg_cross,evaluation_time,status,error
intfloat/multilingual-e5-large,84.15,95.08,92.34,94.75,93.15,93.71,93.95,515.87,Done,
Snowflake/snowflake-arctic-embed-l-v2.0,82.26,93.71,91.75,92.54,92.22,92.73,92.38,528.38,Done,
Qwen/Qwen3-Embedding-4B,86.19,95.25,89.76,96.15,94.74,92.5,95.44,576.73,Done,
intfloat/multilingual-e5-base,79.74,94.18,89.93,91.28,90.19,92.06,90.73,515.55,Done,
BAAI/bge-m3,84.02,93.67,90.18,92.5,92.69,91.93,92.59,581.22,Done,
intfloat/multilingual-e5-small,77.01,92.41,89.25,88.99,85.6,90.83,87.29,509.41,Done,
Qwen/Qwen3-Embedding-0.6B,77.94,92.83,88.42,93.68,92.22,90.62,92.95,550.74,Done,
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,65.65,85.43,78.24,83.36,85.22,81.84,84.29,538.03,Done,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,63.09,84.02,75.5,84.6,85.57,79.76,85.08,527.08,Done,
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,56.22,77.22,70.92,76.09,76.34,74.07,76.22,520.29,Done,
sentence-transformers/LaBSE,63.52,76.46,67.8,76.77,72.14,72.13,74.45,524.0,Done,
intfloat/multilingual-e5-large,84.15,95.08,92.34,94.75,93.15,93.71,93.95,536.99,Done,
Lajavaness/bilingual-embedding-large,84.62,94.33,89.61,94.2,94.19,91.97,94.19,544.14,Done,
jinaai/jina-embeddings-v3,81.27,93.33,89.18,93.17,91.26,91.25,92.22,561.25,Done,
manu/bge-fr-en,82.68,91.66,90.04,91.42,89.79,90.85,90.61,537.69,Done,
Lajavaness/bilingual-embedding-base,81.25,93.24,88.03,93.46,90.67,90.63,92.06,533.18,Done,
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,69.01,93.38,86.23,93.85,92.06,89.81,92.95,550.53,Done,
deepvk/USER-bge-m3,82.09,90.38,89.03,90.59,88.49,89.7,89.54,537.77,Done,
Lajavaness/bilingual-embedding-small,78.2,90.0,85.86,90.02,86.22,87.93,88.12,532.07,Done,
Gameselo/STS-multilingual-mpnet-base-v2,56.76,81.44,71.58,78.2,79.24,76.51,78.72,526.27,Done,
sergeyzh/LaBSE-ru-turbo,69.26,62.99,68.07,72.0,45.43,65.53,58.72,525.7,Done,
google/embeddinggemma-300m,81.19,1.01,0.03,1.01,1.01,0.52,1.01,536.88,Done,
jinaai/jina-embeddings-v4,81.38,,,,,,,0.0,Failed,"JinaV4Wrapper requires the `peft` library but it was not found in your environment. If you want to load jinaai/jina-embeddings-v4 models, please `pip install 'mteb[jina-v4]'` to install the package."
Alibaba-NLP/gte-multilingual-base,80.64,,,,,,,0.0,Failed,"Alibaba-NLP/new-impl You can inspect the repository content at https://hf.co/Alibaba-NLP/gte-multilingual-base.
Please pass the argument `trust_remote_code=True` to allow custom code to be run."
infly/inf-retriever-v1-1.5b,77.49,,,,,,,0.0,Failed,'DynamicCache' object has no attribute 'get_usable_length'
Snowflake/snowflake-arctic-embed-m-v2.0,74.57,,,,,,,0.0,Failed,please install xformers
NovaSearch/jasper_en_vision_language_v1,72.61,,,,,,,0.0,Failed,'DynamicCache' object has no attribute 'get_usable_length'
NovaSearch/stella_en_1.5B_v5,69.51,,,,,,,0.0,Failed,'DynamicCache' object has no attribute 'get_usable_length'
